City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Xining,36.6167,101.7667,18.32,54,75,0.96,CN,1663390824
1,Ponta Do Sol,32.6667,-17.1,23.17,74,21,4.21,PT,1663390994
2,Broome,42.2506,-75.833,15.47,87,100,1.54,US,1663390994
3,Soyo,-6.1349,12.3689,22.74,90,82,2.6,AO,1663390995
4,Rikitea,-23.1203,-134.9692,22.53,73,0,7.75,PF,1663390995
5,Ushuaia,-54.8,-68.3,1.06,98,86,1.36,AR,1663390995
6,Sorland,67.667,12.6934,11.92,78,100,3.57,NO,1663390995
7,East London,-33.0153,27.9116,17.26,74,100,5.15,ZA,1663390996
8,San Carlos De Bariloche,-41.1456,-71.3082,2.91,87,99,1.54,AR,1663390996
9,Pedro Carbo,-1.8333,-80.2333,21.71,74,100,1.66,EC,1663390996
10,Ambon,-3.6954,128.1814,28.08,78,40,1.54,ID,1663390996
11,Kankon,15.0167,74.0167,27.3,80,100,3.69,IN,1663390997
12,Katsuura,35.1333,140.3,27.88,69,100,4.79,JP,1663390789
13,Pacific Grove,36.6177,-121.9166,15.94,85,75,4.12,US,1663390997
14,Talcahuano,-36.7167,-73.1167,8.94,95,100,2.78,CL,1663390997
15,Itarema,-2.9248,-39.9167,25.22,78,38,6.51,BR,1663390998
16,Yellowknife,62.456,-114.3525,9.2,93,36,3.58,CA,1663390869
17,Georgetown,5.4112,100.3354,30.96,70,20,2.57,MY,1663390950
18,Hobart,-42.8794,147.3294,15.7,67,75,7.72,AU,1663390998
19,Sao Miguel,-5.4667,-35.3667,21.43,85,6,4.79,BR,1663390998
20,Bluff,-46.6,168.3333,8.22,62,52,2.11,NZ,1663390999
21,Ponta Delgada,37.7333,-25.6667,21.4,88,20,2.06,PT,1663390999
22,Mount Gambier,-37.8333,140.7667,12.95,76,75,12.86,AU,1663390872
23,Hermanus,-34.4187,19.2345,11.0,80,89,1.48,ZA,1663391000
24,Ketchikan,55.3422,-131.6461,9.5,86,10,0.4,US,1663391000
25,Gidole,5.65,37.3667,16.03,58,60,2.68,ET,1663391000
26,Vaini,-21.2,-175.2,25.08,75,17,2.42,TO,1663391001
27,Ovalle,-30.5983,-71.2003,11.74,90,100,0.96,CL,1663391001
28,Tacuati,-23.45,-56.5833,16.79,72,0,1.98,PY,1663391001
29,Puerto Quijarro,-17.7833,-57.7667,22.13,46,30,1.31,BO,1663391001
30,Longyearbyen,78.2186,15.6401,-3.31,91,71,2.11,SJ,1663391001
31,Aneho,6.2333,1.6,24.05,89,87,3.97,TG,1663391001
32,Sharan,54.8167,54.0,14.24,83,96,5.83,RU,1663391002
33,Kidal,18.4411,1.4078,30.86,35,86,3.94,ML,1663391002
34,Constantine,36.365,6.6147,19.67,82,40,3.09,DZ,1663391002
35,Talnakh,69.4865,88.3972,2.34,75,90,2.39,RU,1663391002
36,Saskylakh,71.9167,114.0833,1.15,98,100,9.8,RU,1663391003
37,Qaanaaq,77.484,-69.3632,-3.59,80,35,3.66,GL,1663391003
38,Arman,59.7,150.1667,12.79,43,12,1.4,RU,1663391003
39,Amuntai,-2.4177,115.2494,34.22,46,100,0.5,ID,1663391003
40,Caravelas,-17.7125,-39.2481,20.86,92,3,1.52,BR,1663391004
41,Lebu,-37.6167,-73.65,7.04,93,100,7.17,CL,1663391005
42,Dikson,73.5069,80.5464,1.64,76,22,2.96,RU,1663391005
43,Mahebourg,-20.4081,57.7,23.47,72,17,7.89,MU,1663391005
44,Haines Junction,60.7522,-137.5108,5.93,71,6,1.76,CA,1663391005
45,Brae,60.3964,-1.353,9.54,71,100,8.55,GB,1663391005
46,Atasu,48.6814,71.6433,13.79,28,3,6.27,KZ,1663391006
47,Bonfim,3.0833,-59.95,24.59,81,44,0.86,BR,1663391006
48,Arraial Do Cabo,-22.9661,-42.0278,18.8,75,100,4.83,BR,1663391006
